Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
7574225564,2464,6132,,,,,,,,,,0.008,3324.674,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
7574229147,14866989,6136,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
7589110056,14784077,6172,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
7603895157,2496,6181,,,,,,,,,,0.008,3282.051,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
7603898773,14869229,6185,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
7618780930,14784237,6221,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
7633566159,2528,6230,,,,,,,,,,0.008,3240.501,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
7633569679,14870093,6234,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
7648453948,14781773,6270,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
7663236745,2496,6279,,,,,,,,,,0.008,3282.051,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
7663241481,14868396,6283,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
7678123541,14786894,6319,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
7692911715,2495,6328,,,,,,,,,,0.008,3283.362,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
7692915298,14872365,6332,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
7707800975,14786317,6368,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
7722588540,2464,6377,,,,,,,,,,0.008,3324.674,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
7722592156,14866605,6381,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
7737472393,14783725,6417,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
7752257174,2496,6426,,,,,,,,,,0.008,3282.051,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
7752260918,14870893,6430,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
7767145634,14785806,6466,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
7781932592,2496,6475,,,,,,,,,,0.008,3282.051,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
7781937136,14875628,6479,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
