run_timestamp_utc,model,prompt_len,variant,replace_ln,status,error_type,error_message,canonical_num_hidden_layers,num_hidden_layers,hidden_size,intermediate_size,parameter_count,parameter_count_with_lm_head,estimated_runtime_memory_gib,warmup,repeat,ttft_ms,prefill_tflops_s,avg_power_watts,max_power_watts,avg_gpu_clock_mhz,max_gpu_clock_mhz,monitor_sample_count,monitor_csv
2026-04-14T17:56:46.672450Z,13B,8192,replace_ln,True,ok,,,40,40,5120,13824,12852034560,13015874560,24.243955612182617,5,10,925.6756998598576,283.9568960868201,321.2496593406593,463.15,1402.3021978021977,1410,910,monitor/13B_prompt8192_replace_ln.csv
2026-04-14T17:57:00.621028Z,34B,16,baseline,False,ok,,,48,24,8192,22016,16871995392,17134139392,31.91482162475586,5,10,27.382334508001804,19.4177574346929,285.65444444444444,286.76,1410.0,1410,27,monitor/34B_prompt16_baseline.csv
2026-04-14T17:57:02.823092Z,34B,16,replace_ln,True,ok,,,48,24,8192,22016,16871995392,17134139392,31.91482162475586,5,10,26.90992606803775,19.758639549126467,283.78333333333336,294.3,1410.0,1410,27,monitor/34B_prompt16_replace_ln.csv
2026-04-14T17:57:03.290306Z,34B,32,baseline,False,ok,,,48,24,8192,22016,16871995392,17134139392,31.91482162475586,5,10,28.637047205120325,37.148023834586894,285.69571428571425,291.7,1410.0,1410,28,monitor/34B_prompt32_baseline.csv
2026-04-14T17:57:03.777492Z,34B,32,replace_ln,True,ok,,,48,24,8192,22016,16871995392,17134139392,31.91482162475586,5,10,28.182293009012938,37.74745056364947,275.46,315.73,1410.0,1410,28,monitor/34B_prompt32_replace_ln.csv
2026-04-14T17:57:04.264622Z,34B,64,baseline,False,ok,,,48,24,8192,22016,16871995392,17134139392,31.91482162475586,5,10,29.220170434564352,72.86850163178197,312.8662068965517,333.12,1410.0,1410,29,monitor/34B_prompt64_baseline.csv
2026-04-14T17:57:04.767074Z,34B,64,replace_ln,True,ok,,,48,24,8192,22016,16871995392,17134139392,31.91482162475586,5,10,28.665629494935274,74.2781538207001,275.8975,335.71,1410.0,1410,28,monitor/34B_prompt64_replace_ln.csv
2026-04-14T17:57:05.255909Z,34B,128,baseline,False,ok,,,48,24,8192,22016,16871995392,17134139392,31.91482162475586,5,10,32.26835057139397,132.16983358017853,372.23031249999997,376.52,1410.0,1410,32,monitor/34B_prompt128_baseline.csv
2026-04-14T17:57:05.803715Z,34B,128,replace_ln,True,ok,,,48,24,8192,22016,16871995392,17134139392,31.91482162475586,5,10,31.55639320611954,135.1517740658946,301.21774193548384,310.51,1410.0,1410,31,monitor/34B_prompt128_replace_ln.csv
2026-04-14T17:57:06.337114Z,34B,256,baseline,False,ok,,,48,24,8192,22016,16871995392,17134139392,31.91482162475586,5,10,44.17992802336812,193.65298307201166,397.82023255813954,407.05,1335.0,1335,43,monitor/34B_prompt256_baseline.csv
2026-04-14T17:57:07.055517Z,34B,256,replace_ln,True,ok,,,48,24,8192,22016,16871995392,17134139392,31.91482162475586,5,10,41.46973052993417,206.3089087944836,343.29414634146343,372.48,1410.0,1410,41,monitor/34B_prompt256_replace_ln.csv
2026-04-14T17:57:07.743404Z,34B,512,baseline,False,ok,,,48,24,8192,22016,16871995392,17134139392,31.91482162475586,5,10,83.37336694821715,206.4715574346384,400.7728048780488,409.1,1338.658536585366,1350,82,monitor/34B_prompt512_baseline.csv
2026-04-14T17:57:09.056661Z,34B,512,replace_ln,True,ok,,,48,24,8192,22016,16871995392,17134139392,31.91482162475586,5,10,78.16549334675074,220.22798277500513,340.2174025974026,391.73,1410.0,1410,77,monitor/34B_prompt512_replace_ln.csv
2026-04-14T17:57:10.298370Z,34B,1024,baseline,False,ok,,,48,24,8192,22016,16871995392,17134139392,31.91482162475586,5,10,152.20701228827238,228.9038736215736,395.64273333333335,415.44,1315.0,1320,150,monitor/34B_prompt1024_baseline.csv
2026-04-14T17:57:12.639567Z,34B,1024,replace_ln,True,ok,,,48,24,8192,22016,16871995392,17134139392,31.91482162475586,5,10,140.81690357998013,247.41898038798584,341.21546762589924,426.69,1397.2661870503598,1410,139,monitor/34B_prompt1024_replace_ln.csv
2026-04-14T17:57:14.818333Z,34B,2048,baseline,False,ok,,,48,24,8192,22016,16871995392,17134139392,31.91482162475586,5,10,293.891288805753,242.71157250636983,399.02401384083043,407.05,1303.961937716263,1305,289,monitor/34B_prompt2048_baseline.csv
2026-04-14T17:57:19.289048Z,34B,2048,replace_ln,True,ok,,,48,24,8192,22016,16871995392,17134139392,31.91482162475586,5,10,269.48392298072577,264.6941459920404,342.56033962264155,454.76,1395.622641509434,1410,265,monitor/34B_prompt2048_replace_ln.csv
2026-04-14T17:57:23.393169Z,34B,4096,baseline,False,ok,,,48,24,8192,22016,16871995392,17134139392,31.91482162475586,5,10,602.1076849661767,247.893702733551,398.34386824324326,409.37,1302.3141891891892,1305,592,monitor/34B_prompt4096_baseline.csv
2026-04-14T17:57:32.491629Z,34B,4096,replace_ln,True,ok,,,48,24,8192,22016,16871995392,17134139392,31.91482162475586,5,10,552.1953656338155,270.3005362952862,334.8938674033149,473.26,1396.2707182320441,1410,543,monitor/34B_prompt4096_replace_ln.csv
2026-04-14T17:57:40.855573Z,34B,8192,baseline,False,ok,,,48,24,8192,22016,16871995392,17134139392,31.91482162475586,5,10,1236.039248853922,262.8603309393828,401.2905436573311,418.34,1289.14744645799,1305,1214,monitor/34B_prompt8192_baseline.csv
2026-04-14T17:57:59.456824Z,34B,8192,replace_ln,True,ok,,,48,24,8192,22016,16871995392,17134139392,31.91482162475586,5,10,1124.5439948514104,288.92216533577135,338.75601265822786,478.24,1395.108499095841,1410,1106,monitor/34B_prompt8192_replace_ln.csv
2026-04-14T17:58:16.400059Z,70B,16,baseline,False,ok,,,80,20,8192,28672,17375245312,17637389312,32.85219764709473,5,10,27.80705699697137,19.699175732968126,290.7782142857143,294.3,1410.0,1410,28,monitor/70B_prompt16_baseline.csv
2026-04-14T17:58:17.744721Z,70B,16,replace_ln,True,ok,,,80,20,8192,28672,17375245312,17637389312,32.85219764709473,5,10,27.451967913657427,19.95398304860614,283.7111111111111,285.63,1410.0,1410,27,monitor/70B_prompt16_replace_ln.csv
2026-04-14T17:58:18.216336Z,70B,32,baseline,False,ok,,,80,20,8192,28672,17375245312,17637389312,32.85219764709473,5,10,31.53800116851926,34.74816756027957,275.0532258064516,275.78,1410.0,1410,31,monitor/70B_prompt32_baseline.csv
2026-04-14T17:58:18.752959Z,70B,32,replace_ln,True,ok,,,80,20,8192,28672,17375245312,17637389312,32.85219764709473,5,10,31.1295410618186,35.20410875777871,255.9041935483871,258.98,1410.0,1410,31,monitor/70B_prompt32_replace_ln.csv
2026-04-14T17:58:19.285307Z,70B,64,baseline,False,ok,,,80,20,8192,28672,17375245312,17637389312,32.85219764709473,5,10,32.2667533531785,67.96834040025792,308.04875,309.38,1410.0,1410,32,monitor/70B_prompt64_baseline.csv
2026-04-14T17:58:19.837526Z,70B,64,replace_ln,True,ok,,,80,20,8192,28672,17375245312,17637389312,32.85219764709473,5,10,31.778871826827523,69.01181663939951,272.4670967741935,280.74,1410.0,1410,31,monitor/70B_prompt64_replace_ln.csv
2026-04-14T17:58:20.384607Z,70B,128,baseline,False,ok,,,80,20,8192,28672,17375245312,17637389312,32.85219764709473,5,10,37.82753348350525,116.09543778673715,343.39054054054054,345.56,1410.0,1410,37,monitor/70B_prompt128_baseline.csv
2026-04-14T17:58:21.013147Z,70B,128,replace_ln,True,ok,,,80,20,8192,28672,17375245312,17637389312,32.85219764709473,5,10,37.247310765087605,117.90392299345027,277.6827027027027,291.12,1410.0,1410,37,monitor/70B_prompt128_replace_ln.csv
2026-04-14T17:58:21.638298Z,70B,256,baseline,False,ok,,,80,20,8192,28672,17375245312,17637389312,32.85219764709473,5,10,45.52213326096535,193.41542950821915,406.12288888888884,411.52,1335.0,1335,45,monitor/70B_prompt256_baseline.csv
2026-04-14T17:58:22.386022Z,70B,256,replace_ln,True,ok,,,80,20,8192,28672,17375245312,17637389312,32.85219764709473,5,10,43.18441366776824,203.8856663549329,357.52953488372094,380.43,1410.0,1410,43,monitor/70B_prompt256_replace_ln.csv
2026-04-14T17:58:23.105500Z,70B,512,baseline,False,ok,,,80,20,8192,28672,17375245312,17637389312,32.85219764709473,5,10,83.27062241733074,212.50309828159953,398.3948780487805,416.04,1335.0,1350,82,monitor/70B_prompt512_baseline.csv
2026-04-14T17:58:24.418056Z,70B,512,replace_ln,True,ok,,,80,20,8192,28672,17375245312,17637389312,32.85219764709473,5,10,77.93991453945637,227.03726792723046,347.18142857142857,399.85,1407.2727272727273,1410,77,monitor/70B_prompt512_replace_ln.csv
2026-04-14T17:58:25.658679Z,70B,1024,baseline,False,ok,,,80,20,8192,28672,17375245312,17637389312,32.85219764709473,5,10,155.25845671072602,230.15897916143146,399.1067320261438,411.41,1310.9803921568628,1320,153,monitor/70B_prompt1024_baseline.csv
2026-04-14T17:58:28.046902Z,70B,1024,replace_ln,True,ok,,,80,20,8192,28672,17375245312,17637389312,32.85219764709473,5,10,143.91573052853346,248.29897170716282,336.5909859154929,439.7,1397.218309859155,1410,142,monitor/70B_prompt1024_replace_ln.csv
2026-04-14T17:58:30.283092Z,70B,2048,baseline,False,ok,,,80,20,8192,28672,17375245312,17637389312,32.85219764709473,5,10,300.15842597931623,242.68066139572423,399.316768707483,422.65,1296.5816326530612,1305,294,monitor/70B_prompt2048_baseline.csv
2026-04-14T17:58:34.843617Z,70B,2048,replace_ln,True,ok,,,80,20,8192,28672,17375245312,17637389312,32.85219764709473,5,10,275.91443229466677,264.0044768023104,341.49516605166053,469.01,1390.129151291513,1410,271,monitor/70B_prompt2048_replace_ln.csv
2026-04-14T17:58:39.045942Z,70B,4096,baseline,False,ok,,,80,20,8192,28672,17375245312,17637389312,32.85219764709473,5,10,612.7725408412516,246.7193595386094,397.0673377703827,418.34,1294.667221297837,1305,601,monitor/70B_prompt4096_baseline.csv
2026-04-14T17:58:48.292227Z,70B,4096,replace_ln,True,ok,,,80,20,8192,28672,17375245312,17637389312,32.85219764709473,5,10,562.3322092927992,268.8497054247181,338.6755515370705,475.08,1391.1482820976491,1410,553,monitor/70B_prompt4096_replace_ln.csv
2026-04-14T17:58:56.800704Z,70B,8192,baseline,False,ok,,,80,20,8192,28672,17375245312,17637389312,32.85219764709473,5,10,1253.6444324068725,258.7304037805911,399.4932116788321,427.6,1288.2846715328467,1305,1233,monitor/70B_prompt8192_baseline.csv
2026-04-14T17:59:15.674338Z,70B,8192,replace_ln,True,ok,,,80,20,8192,28672,17375245312,17637389312,32.85219764709473,5,10,1146.575241908431,282.8910989339364,340.0291393078971,482.6,1392.4578527063,1410,1127,monitor/70B_prompt8192_replace_ln.csv
