elapsed_seconds,power_watts,gpu_clock_mhz,mem_clock_mhz,temperature_c
7.468,365.32,1410,1215,48
7.478,365.32,1410,1215,48
7.488,365.32,1410,1215,48
7.498,365.92,1410,1215,48
7.509,365.92,1410,1215,48
7.519,365.92,1410,1215,48
7.529,365.92,1410,1215,48
7.539,365.92,1410,1215,48
7.549,365.92,1410,1215,48
7.56,365.92,1410,1215,48
7.57,365.92,1410,1215,48
7.58,365.92,1410,1215,48
7.59,365.92,1410,1215,48
7.6,365.0,1410,1215,48
7.611,365.0,1410,1215,48
7.621,365.0,1410,1215,48
7.631,365.0,1410,1215,48
7.641,365.0,1410,1215,48
7.651,365.0,1410,1215,48
7.661,365.0,1410,1215,48
7.672,365.0,1410,1215,48
7.682,365.0,1410,1215,48
7.692,365.0,1410,1215,48
7.702,364.14,1410,1215,48
7.712,364.14,1410,1215,48
7.723,364.14,1410,1215,48
7.733,364.14,1410,1215,48
7.743,364.14,1410,1215,48
7.753,364.14,1410,1215,48
7.763,364.14,1410,1215,48
7.773,364.14,1410,1215,48
7.784,364.14,1410,1215,48
7.794,364.14,1410,1215,48
7.804,368.24,1410,1215,48
7.814,368.24,1410,1215,48
7.824,368.24,1410,1215,48
7.835,368.24,1410,1215,48
7.845,368.24,1410,1215,48
7.855,368.24,1410,1215,48
7.865,368.24,1410,1215,48
7.875,368.24,1410,1215,48
7.886,368.24,1410,1215,48
7.896,368.24,1410,1215,48
7.906,365.92,1410,1215,48
7.916,365.92,1410,1215,48
7.926,365.92,1410,1215,48
7.937,365.92,1410,1215,48
7.947,365.92,1410,1215,48
7.957,365.92,1410,1215,48
7.967,365.92,1410,1215,48
7.977,365.92,1410,1215,48
7.988,365.92,1410,1215,48
7.998,366.45,1410,1215,48
8.008,366.45,1410,1215,48
8.018,366.45,1410,1215,48
8.028,366.45,1410,1215,48
8.039,366.45,1410,1215,48
8.049,366.45,1410,1215,48
8.059,366.45,1410,1215,48
8.069,366.45,1410,1215,48
8.079,366.45,1410,1215,48
8.089,366.45,1410,1215,48
8.1,366.45,1410,1215,49
8.11,366.45,1410,1215,49
8.12,366.45,1410,1215,49
8.13,366.45,1410,1215,49
8.14,366.45,1410,1215,49
8.151,366.45,1410,1215,49
8.161,366.45,1410,1215,49
8.171,366.45,1410,1215,49
8.181,366.45,1410,1215,49
8.191,366.45,1410,1215,49
8.201,365.0,1410,1215,49
8.212,365.0,1410,1215,49
8.222,365.0,1410,1215,49
8.232,365.0,1410,1215,49
8.242,365.0,1410,1215,49
8.252,365.0,1410,1215,49
8.263,365.0,1410,1215,49
8.273,365.0,1410,1215,49
8.283,365.0,1410,1215,49
8.293,365.0,1410,1215,49
8.303,367.32,1410,1215,49
8.314,367.32,1410,1215,49
8.324,367.32,1410,1215,49
